Gene_ID	Level	logFC	Size..aa.	Final.Description	X.1st.BLASTp.hit...if.blank..see.next.column.	X.1st.BLASTp.hit...blank.are.real.orphans..	KO.	Name.KEGG	Annotation	X.GO.Terms	GO.Terms	Enzyme.Code	SignalP	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
gene_1086	0	0	131	Putative uncharacterized protein	Colletotrichum gloeosporioides	Sporothrix schenckii			6-phosphogluconate dehydrogenase	5	P:oxidation-reduction process; F:oxidoreductase activity; F:nucleotide binding; F:oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; F:coenzyme binding		N	0	0	0	0	0	0	0	0
gene_1087	1.2635436579314	-1.81847729127394	652	Cyclic-AMP phosphodiesterase	Grosmannia clavigera	Ophiostoma piceae	K01120	PDE; 3',5'-cyclic-nucleotide phosphodiesterase [EC:3.1.4.17]	cyclic-amp phosphodiesterase	3	P:cAMP catabolic process; F:3',5'-cyclic-AMP phosphodiesterase activity; C:cellular_component		N	0	0	0	0	4	0	0	0
gene_1088	0	0	99	Putative uncharacterized protein	Togninia minima	Togninia minima			alternative sulfate transporter	2	C:integral to membrane; P:transmembrane transport		N	0	0	0	0	0	0	0	0
gene_1089	0	0	778	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7173	0	-		N	0	0	0	0	0	0	0	0
gene_109	0.142126208150686	-0.360928788096184	314	Exosome complex component rrp45 (Ribosomal RNA-processing protein 45)	Grosmannia clavigera	Ophiostoma piceae	K03678	RRP45, EXOSC9; exosome complex component RRP45	exosome complex exonuclease rrp45	1	F:exonuclease activity	-	N	0	0	0	0	0	0	0	2
gene_1090	0.47410986881964	-0.261595949714307	1 952	AMP-binding domain protein	Grosmannia clavigera	Ophiostoma piceae			acyl- ligase	4	P:metabolic process; F:transcription factor binding; C:nucleus; F:ligase activity	-	N	0	0	0	4	0	0	2	0
gene_1091	2.1310939136002	0.285608332489648	505	Bzip transcription factor	Grosmannia clavigera	Ophiostoma piceae			bzip transcription factor	4	F:sequence-specific DNA binding transcription factor activity; F:sequence-specific DNA binding; F:protein dimerization activity; P:regulation of transcription, DNA-dependent	-	N	8	2	0	14	0	0	6	0
gene_1092	0	0	846	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7456	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1093	25.9818771972484	-0.0792521345857105	326	Telomere and ribosome associated protein	Scedosporium apiospermum	Ophiostoma piceae			elicitor protein	0	-		N	44	56	8	81	14	10	22	46
gene_1094	0	0	718	Major facilitator superfamily transporter	Grosmannia clavigera	Ophiostoma piceae			major facilitator superfamily transporter	2	C:integral to membrane; P:transmembrane transport		N	0	0	0	0	0	0	0	0
gene_1095	1.99515464897976	-0.587945842334962	331	Mitochondrial cation transporter fsf1 (Fungal sideroflexin-1)	Grosmannia clavigera	Ophiostoma piceae			tricarboxylate carrier	5	C:membrane; C:mitochondrion; F:cation transmembrane transporter activity; P:cation transport; P:transmembrane transport	-	N	0	12	0	4	0	0	2	14
gene_1096	0	0	880	Dual specificity protein kinase lkh1	Grosmannia clavigera	Ophiostoma piceae	K08287	E2.7.12.1; dual-specificity kinase [EC:2.7.12.1]	cmgc clk protein kinase	3	P:protein phosphorylation; F:ATP binding; F:protein serine/threonine kinase activity	EC:2.7.11.0	N	0	0	0	0	0	0	0	0
gene_1097	0	0	1 195	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7046	0	-		N	0	0	0	0	0	0	0	0
gene_1098	0	0	1 050	tRNA processing endoribonuclease	Grosmannia clavigera	Ophiostoma piceae	K00784	rnz; ribonuclease Z [EC:3.1.26.11]	trna processing endoribonuclease	1	F:hydrolase activity		N	0	0	0	0	0	0	0	0
gene_1099	1.2635436579314	-1.81847729127394	962	U3 small nucleolar RNA-associated protein 4 (U3 snoRNA-associated protein 4)	Grosmannia clavigera	Ophiostoma piceae	K14548	UTP4, CIRH1A; U3 small nucleolar RNA-associated protein 4	small nucleolar ribonucleoprotein complex	2	F:nucleic acid binding; C:ribonucleoprotein complex		N	0	0	0	0	4	0	0	0
gene_11	0	0	505	Hexose transporter	Colletotrichum orbiculare	Colletotrichum orbiculare			hexose transporter	3	C:membrane; P:transport; F:transmembrane transporter activity	-	N	0	0	0	0	0	0	0	0
gene_110	0.536686390970118	0.478321661936926	247	ADP-ribosylation factor-like protein 3 (Arf-like GTPase 3)	Grosmannia clavigera	Ophiostoma piceae	K07952	ARFRP1; ADP-ribosylation factor related protein 1	adp-ribosylation factor family protein	5	P:small GTPase mediated signal transduction; C:intracellular; P:intracellular protein transport; F:hydrolase activity; F:GTP binding	-	N	2	4	0	2	0	0	0	2
gene_1100	0.170414364786833	0.423124966716581	488	Peptidase	Grosmannia clavigera	Ophiostoma piceae	K01456	E3.5.1.52, NGLY1, PNG1; peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase [EC:3.5.1.52]	peptide-n4-(n-acetyl-beta-glucosaminyl)asparagine amidase	3	F:damaged DNA binding; P:nucleotide-excision repair; C:nucleus	-	N	0	0	0	4	0	0	0	0
gene_1101	0.777805372852447	-0.724039745733198	503	Putative uncharacterized protein	Colletotrichum gloeosporioides	Ophiostoma piceae			duf1713 domain protein	0	-		N	0	0	0	4	0	0	4	0
gene_1102	0.613733257937092	1.15540374476836	1 162	Nucleolar ATPase	Grosmannia clavigera	Ophiostoma piceae	K14521	NAT10, KRE33; N-acetyltransferase 10 [EC:2.3.1.-]	nucleolar atpase	1	C:intracellular part	-	N	4	4	0	4	0	0	0	0
gene_1103	0	0	420	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2040	0	-		Y	0	0	0	0	0	0	0	0
gene_1104	0.361299283268346	0.163482126298513	1 041	Glycosyl hydrolase family 31	Colletotrichum fioriniae	Ophiostoma piceae			glycoside hydrolase family 31 protein	1	F:hydrolase activity	-	Y	2	0	0	2	0	0	0	2
gene_1105	0	0	656	Glucose transporter rco-3	Myceliophthora thermophila	Ophiostoma piceae			glucose transporter rco-3	4	F:substrate-specific transmembrane transporter activity; C:integral to membrane; P:transmembrane transport; P:carbohydrate transport	-	N	0	0	0	0	0	0	0	0
gene_1106	22.4794784685539	-0.872363136042816	633	Fumarate reductase	Grosmannia clavigera	Ophiostoma piceae			fumarate reductase	3	F:heme binding; F:succinate dehydrogenase activity; P:oxidation-reduction process	EC:1.3.99.1	N	14	56	6	37	2	19	40	50
gene_1107	0	0	224	FAS1 domain-containing protein	Grosmannia clavigera	Ophiostoma piceae			fas1 domain containing protein	1	C:vacuole		Y	0	0	0	0	0	0	0	0
gene_1108	0.303695504032807	-0.684720916430889	1 624	Transcriptional regulatory protein SIN3	Grosmannia clavigera	Ophiostoma piceae	K11644	SIN3A; paired amphipathic helix protein Sin3a	sin3-like protein	2	P:regulation of transcription, DNA-dependent; C:nucleus		N	0	0	0	0	0	0	2	0
gene_1109	3.642081324446	0.148912483540441	398	Acetyl-CoA acetyltransferase	Podospora anserina	Ophiostoma piceae	K00626	E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]	acetyl- acetyltransferase	2	F:acetyl-CoA C-acetyltransferase activity; P:ergosterol biosynthetic process	EC:2.3.1.9	N	2	14	0	28	0	6	2	0
gene_111	0	0	138	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1110	0	0	373	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			clavaminate synthase-like protein	0	-		N	0	0	0	0	0	0	0	0
gene_1111	0	0	273	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7799	1	F:nucleic acid binding		N	0	0	0	0	0	0	0	0
gene_1112	0.260594290095187	0.605199013575912	319	tRNA-His guanylyltransferase	Myceliophthora thermophila	Ophiostoma piceae	K10761	THG1; tRNA(His) guanylyltransferase [EC:2.7.7.79]	trna guanylyltransferase	1	F:nucleotidyltransferase activity	EC:2.7.7.0	N	0	4	0	2	0	0	0	0
gene_1113	0.996293694491838	-1.26978705937476	492	Set1 complex component swd1	Grosmannia clavigera	Ophiostoma piceae	K14961	RBBP5, SWD1, CPS50; COMPASS component SWD1	swd1-like protein	1	C:cellular_component		N	0	0	0	2	0	0	6	0
gene_1114	10.5667906620496	-1.58509443852368	1 757	DNA-directed RNA polymerase II subunit rpb1	Grosmannia clavigera	Ophiostoma piceae	K03006	RPB1, POLR2A; DNA-directed RNA polymerase II subunit RPB1 [EC:2.7.7.6]	dna-directed rna polymerase ii largest subunit	4	F:DNA-directed RNA polymerase activity; C:DNA-directed RNA polymerase II, core complex; F:DNA binding; P:transcription from RNA polymerase II promoter	EC:2.7.7.6	N	6	24	0	22	6	18	10	8
gene_1115	0.175387107701771	0.433786545470403	113	Putative uncharacterized protein	Podospora anserina	Ophiostoma piceae			hypothetical protein	0	-		N	0	4	0	0	0	0	0	0
gene_1116	0	0	734	Putative uncharacterized protein	Fusarium oxysporum	Ophiostoma piceae			major facilitator superfamily transporter	0	-		N	0	0	0	0	0	0	0	0
gene_1117	0	0	216	Putative uncharacterized protein	Trichoderma reesei	Ophiostoma piceae			hypothetical protein GGTG_01793	3	F:electron carrier activity; C:membrane; F:NADH dehydrogenase (ubiquinone) activity		N	0	0	0	0	0	0	0	0
gene_1118	0	0	154	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1119	0	0	824	Transgelin (Calponin homolog 1)	Magnaporthe oryzae	Ophiostoma piceae			calponin-like protein	0	-		N	0	0	0	0	0	0	0	0
gene_112	0.523553332628737	1.03358627648384	111	Cell wall biogenesis protein	Grosmannia clavigera	Ophiostoma piceae			cell wall biogenesis protein	1	P:fungal-type cell wall organization	-	N	4	0	0	6	0	0	0	0
gene_1120	0	0	1 371	UDP-transferase	Grosmannia clavigera	Ophiostoma piceae	K05841	E2.4.1.173; sterol 3beta-glucosyltransferase [EC:2.4.1.173]	glycosyltransferase family 28 domain-containing protein	2	P:carbohydrate metabolic process; F:transferase activity, transferring glycosyl groups	-	N	0	0	0	0	0	0	0	0
gene_1121	0	0	328	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			essential protein yae1	7	C:cytoplasm; C:nucleus; P:regulation of transcription, DNA-dependent; P:transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter		N	0	0	0	0	0	0	0	0
gene_1122	0	0	474	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_7865	0	-		N	0	0	0	0	0	0	0	0
gene_1123	0.46588816574164	-0.949928063045303	496	Putative uncharacterized protein	Thielavia terrestris	Ophiostoma piceae			rna recognition motif-containing protein	0	-		N	0	0	0	0	0	2	0	0
gene_1124	9.68273990679003	-0.916253534350483	362	Cytochrome c peroxidase, mitochondrial (CCP) 	Chaetomium thermophilum	Ophiostoma piceae	K00428	E1.11.1.5; cytochrome c peroxidase [EC:1.11.1.5]	cytochrome c mitochondrial precursor	7	C:mitochondrial intermembrane space; F:metal ion binding; F:cytochrome-c peroxidase activity; P:cellular response to oxidative stress; C:mitochondrial matrix; F:heme binding; P:oxidation-reduction process	EC:1.11.1.5	N	26	8	0	26	0	6	26	16
gene_1125	0	0	591	Pre-mRNA-processing factor 39	Grosmannia clavigera	Ophiostoma piceae	K13217	PRPF39, PRP39; pre-mRNA-processing factor 39	pre-mrna-processing factor 39	2	C:intracellular; P:RNA processing	-	N	0	0	0	0	0	0	0	0
gene_1126	0	0	1 356	Phosphoinositide phosphatase	Grosmannia clavigera	Ophiostoma piceae			synaptojanin 2	2	P:phosphatidylinositol phosphorylation; F:phosphoric ester hydrolase activity	-	N	0	0	0	0	0	0	0	0
gene_1127	0	0	757	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_2505	0	-		N	0	0	0	0	0	0	0	0
gene_1128	0	0	638	DNA topoisomerase 3-alpha	Grosmannia clavigera	Ophiostoma piceae			zinc finger dna-binding protein	2	F:zinc ion binding; F:DNA binding		N	0	0	0	0	0	0	0	0
gene_1129	0	0	514	Mitochondrial pyruvate dehydrogenase	Grosmannia clavigera	Ophiostoma piceae	K00905	E2.7.11.4, BCKDK; [3-methyl-2-oxobutanoate dehydrogenase (acetyl-transferring)] kinase [EC:2.7.11.4]	mitochondrial pyruvate dehydrogenase	3	F:binding; P:metabolic process; F:transferase activity, transferring phosphorus-containing groups	-	N	0	0	0	0	0	0	0	0
gene_113	7.57843771650866	0.32554772514616	439	DUF1682 domain containing protein	Grosmannia clavigera	Ophiostoma piceae			duf1682 domain containing protein	0	-		N	16	34	2	18	2	2	8	14
gene_1130	7.18555969153114	2.63981505570569	70	Putative uncharacterized protein	Eutypa lata	Ophiostoma piceae			peptidase inhibitor i9	6	F:identical protein binding; F:serine-type endopeptidase activity; F:kinase activity; P:phosphorylation; F:ATP binding; P:negative regulation of catalytic activity	EC:3.4.21.0	N	28	62	0	46	2	0	0	0
gene_1131	0	0	200	Putative uncharacterized protein	 	Ophiostoma piceae			---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1132	0	0	774	Golgi apyrase (ATP-diphosphatase/Yeast nucleoside diphosphatase 1)	Grosmannia clavigera	Ophiostoma piceae	K14642	YND1; golgi apyrase [EC:3.6.1.5]	golgi apyrase	1	P:mycelium development	-	N	0	0	0	0	0	0	0	0
gene_1133	0	0	209	Protein OPI10 (Overproducer of inositol protein 10)	Grosmannia clavigera	Ophiostoma piceae			duf775 domain containing protein	1	F:molecular_function		N	0	0	0	0	0	0	0	0
gene_1134	0	0	353	Thiamin pyrophosphokinase-related protein	Grosmannia clavigera	Ophiostoma piceae			thiamin pyrophosphokinase-related protein	3	F:kinase activity; P:phosphorylation; F:hydrolase activity		N	0	0	0	0	0	0	0	0
gene_1135	0.303695504032807	-0.684720916430889	155	DNA-directed RNA polymerases I, II, and III subunit RPABC3	Grosmannia clavigera	Ophiostoma piceae	K03016	RPB8, POLR2H; DNA-directed RNA polymerases I, II, and III subunit RPABC3	dna-directed rna polymerases i	2	F:DNA-directed RNA polymerase activity; P:transcription, DNA-dependent	EC:2.7.7.6	N	0	0	0	0	0	0	2	0
gene_1136	0.303695504032807	-0.684720916430889	511	Elongator complex protein 4	Grosmannia clavigera	Ophiostoma piceae	K11375	ELP4; elongator complex protein 4	elongator complex protein 4	1	P:RNA metabolic process	-	N	0	0	0	0	0	0	2	0
gene_1137	0	0	320	tRNA-splicing endonuclease subunit sen34	Grosmannia clavigera	Ophiostoma piceae	K15323	TSEN34; tRNA-splicing endonuclease subunit Sen34 [EC:3.1.27.9]	trna-splicing endonuclease subunit sen34	2	F:nuclease activity; P:tRNA processing	-	N	0	0	0	0	0	0	0	0
gene_1138	0	0	1 060	Ubiquitin-protein ligase	Grosmannia clavigera	Ophiostoma piceae			ubiquitin-protein ligase	1	F:ligase activity		N	0	0	0	0	0	0	0	0
gene_1139	0	0	549	CCA tRNA nucleotidyltransferase, mitochondrial	Grosmannia clavigera	Sporothrix schenckii	K00974	cca; tRNA nucleotidyltransferase (CCA-adding enzyme) [EC:2.7.7.72 3.1.3.- 3.1.4.-]	poly polymerase	1	F:transferase activity	-	N	0	0	0	0	0	0	0	0
gene_114	0.741356900789858	-0.804687581674693	220	Protein transport protein sec22	Gaeumannomyces graminis	Ophiostoma piceae	K08517	SEC22; vesicle transport protein SEC22	protein transport protein sec22	2	C:integral to membrane; P:vesicle-mediated transport	-	N	2	0	0	0	0	0	4	0
gene_1140	0.822397712765713	0.342011462086988	121	C6 zinc finger fungal transcription factor	Grosmannia clavigera	Ophiostoma piceae			c6 zinc finger domain containing protein	1	P:transcription, DNA-dependent	-	N	0	6	0	6	0	0	2	0
gene_1141	0.579787604907737	-0.57716303486864	844	Pre-mRNA-splicing factor syf-1	Thielavia terrestris	Ophiostoma piceae	K12867	SYF1, XAB2; pre-mRNA-splicing factor SYF1	pre-mrna splicing factor syf1	4	P:RNA splicing; C:spliceosomal complex; P:mRNA processing; P:cell cycle	-	N	2	0	0	0	0	0	2	2
gene_1142	4.8662784951391	-0.185745928534747	264	Vacuolar ATP synthase subunit D	Grosmannia clavigera	Ophiostoma piceae	K02149	ATPeVD, ATP6M; V-type H+-transporting ATPase subunit D [EC:3.6.3.14]	vacuolar atp synthase subunit d	4	C:vacuolar proton-transporting V-type ATPase complex; P:vacuolar acidification; F:proton-transporting ATPase activity, rotational mechanism; P:proton transport	-	N	4	10	2	14	4	4	0	6
gene_1143	0.46588816574164	-0.949928063045303	232	U1 small nuclear ribonucleoprotein usp102 (U1 snRNP protein usp102)	Myceliophthora thermophila	Ophiostoma piceae	K11094	SNRPB2; U2 small nuclear ribonucleoprotein B''	small nuclear ribonucleoprotein u1a	1	F:nucleic acid binding	-	N	0	0	0	0	0	2	0	0
gene_1144	0	0	1 724	Guanine nucleotide exchange factor	Grosmannia clavigera	Ophiostoma piceae			pattern formation protein emb30	3	P:regulation of ARF protein signal transduction; C:intracellular; F:ARF guanyl-nucleotide exchange factor activity	-	N	0	0	0	0	0	0	0	0
gene_1145	2.04443490193092	0.599080092786836	573	Mannan polymerase II complex ANP1 subunit	Grosmannia clavigera	Ophiostoma piceae	K05533	ANP1; mannan polymerase II complex ANP1 subunit [EC:2.4.1.-]	glycosyltransferase family 62 protein	3	C:alpha-1,6-mannosyltransferase complex; F:alpha-1,6-mannosyltransferase activity; P:protein N-linked glycosylation	-	N	2	2	2	4	0	0	0	10
gene_1146	0	0	301	Exosome complex component mtr3	Grosmannia clavigera	Ophiostoma piceae	K12587	MTR3, EXOSC6; exosome complex component MTR3	3 exoribonuclease	1	C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1147	0.267931785448488	0.619050068707501	578	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_833	0	-		N	4	0	0	0	0	0	0	0
gene_1148	0	0	1 450	Polyphosphoinositide phosphatase fig4	Grosmannia clavigera	Ophiostoma piceae			polyphosphoinositide phosphatase	2	F:phosphoric ester hydrolase activity; P:biological_process		N	0	0	0	0	0	0	0	0
gene_1149	3.73819073153161	0.682879419733863	375	Alpha-ketoglutarate dependent xanthine dioxygenase	Grosmannia clavigera	Ophiostoma piceae			alpha-ketoglutarate dependent xanthine dioxygenase	2	P:oxidation-reduction process; F:oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen	EC:1.13.11.0	N	24	2	0	17	0	2	0	12
gene_115	0	0	623	Putative uncharacterized protein	Grosmannia clavigera	Ophiostoma piceae			hypothetical protein CMQ_1370	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1150	0	0	926	Fungal transcriptional regulatory protein	Grosmannia clavigera	Ophiostoma piceae			trapp complex protein trs85	1	P:transcription, DNA-dependent	-	N	0	0	0	0	0	0	0	0
gene_1151	0	0	136	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1152	0	0	325	Catalase domain containing protein	Grosmannia clavigera	Ophiostoma piceae	K03781	katE, CAT, catB, srpA; catalase [EC:1.11.1.6]	catalase domain containing protein	1	F:peroxidase activity	EC:1.11.1.7	N	0	0	0	0	0	0	0	0
gene_1153	0	0	59	Putative uncharacterized protein	 				---NA---	0	-		N	0	0	0	0	0	0	0	0
gene_1154	0	0	277	EF-hand calcium-binding domain protein	Grosmannia clavigera	Ophiostoma piceae			ef-hand calcium-binding domain protein	3	F:molecular_function; P:biological_process; C:cellular_component		N	0	0	0	0	0	0	0	0
gene_1155	0	0	697	Fungal transcriptional regulatory protein	Grosmannia clavigera	Ophiostoma piceae			fungal specific transcription factor domain protein	1	P:transcription, DNA-dependent	-	N	0	0	0	0	0	0	0	0
